id, timestamp, anomaly class
200101,06-09-2022 11:24:26,0
200102,06-09-2022 11:25:24,0
200103,06-09-2022 11:26:45,0
200104,06-09-2022 11:27:38,0
200201,06-09-2022 11:36:05,0
200202,06-09-2022 11:38:19,0
200203,06-09-2022 11:39:16,0
200204,06-09-2022 11:40:53,0
200301,06-09-2022 11:45:50,0
200302,06-09-2022 11:47:29,0
200303,06-09-2022 11:49:23,0
200304,06-09-2022 11:50:54,0
200401,06-09-2022 11:54:47,0
200402,06-09-2022 11:56:50,0
200403,06-09-2022 11:58:05,0
200404,06-09-2022 11:59:38,0
200501,06-09-2022 12:03:26,0
200502,06-09-2022 12:04:44,0
200503,06-09-2022 12:06:25,0
200504,06-09-2022 12:08:16,0
200601,06-09-2022 12:12:39,0
200602,06-09-2022 12:14:26,0
200603,06-09-2022 12:15:48,0
200604,06-09-2022 12:17:34,0
200701,06-09-2022 12:21:43,0
200702,06-09-2022 12:23:24,0
200703,06-09-2022 12:24:57,0
200704,06-09-2022 12:26:32,0
200801,06-09-2022 12:30:08,0
200802,06-09-2022 12:31:25,0
200803,06-09-2022 12:33:01,0
200804,06-09-2022 12:34:59,0
200901,06-09-2022 12:38:21,0
200902,06-09-2022 12:39:43,0
